exchange,symbol,date,increase
bybit,0GUSDT,2025-09-23,0.502
bybit,0GUSDT,2025-10-10,0.7097560975609756
bybit,0GUSDT,2025-11-03,0.6563786008230454
bybit,0GUSDT,2025-11-08,0.7989130434782608
bybit,0GUSDT,2025-12-25,0.5429638854296389
bybit,0GUSDT,2026-01-25,0.4178082191780822
bybit,0GUSDT,2026-02-12,0.528130671506352
bybit,0GUSDT,2026-04-12,0.5031954887218044
bybit,1INCHUSDT,2025-10-10,1.460945033751205
bybit,1INCHUSDT,2025-11-05,0.4180505415162453
bybit,2ZUSDT,2025-10-02,13.79866666666667
bybit,2ZUSDT,2025-10-10,1.5097511768661733
bybit,2ZUSDT,2025-11-21,0.945602901178604
bybit,AUSDT,2025-05-28,1.037037037037037
bybit,AUSDT,2025-10-10,1.5641361256544504
bybit,A8USDT,2025-05-28,0.47385103011093493
bybit,A8USDT,2025-07-20,0.6025390624999999
bybit,A8USDT,2025-07-26,0.4377719756309836
bybit,A8USDT,2025-10-10,0.6600790513833994
bybit,A8USDT,2025-11-20,1.010178117048346
bybit,A8USDT,2025-12-02,1.8328257191201356
bybit,A8USDT,2025-12-03,0.6529794692038059
bybit,A8USDT,2025-12-09,0.6808510638297872
bybit,A8USDT,2025-12-26,0.4216922724145837
bybit,A8USDT,2026-01-23,0.7070217917675544
bybit,A8USDT,2026-03-16,0.4374999999999999
bybit,A8USDT,2026-03-27,0.43780135004821585
bybit,A8USDT,2026-04-11,0.6533748297996501
bybit,AAVEUSDT,2025-10-10,2.451728395061728
bybit,ACHUSDT,2025-07-20,0.4108734402852049
bybit,ACHUSDT,2025-10-10,1.7405797101449276
bybit,ACSUSDT,2025-07-05,0.5203649096940657
bybit,ACSUSDT,2025-07-06,0.45531028095091075
bybit,ACSUSDT,2025-08-25,1.2371268656716419
bybit,ACSUSDT,2025-08-26,0.541739586979349
bybit,ACSUSDT,2025-10-15,0.5448739495798318
bybit,ACSUSDT,2025-10-16,0.43952717312959505
bybit,ACSUSDT,2025-12-21,0.4117082533589251
bybit,ACSUSDT,2026-01-31,0.5045135406218655
bybit,ACSUSDT,2026-02-04,0.6463293650793651
bybit,ACSUSDT,2026-02-05,0.44502314814814814
