exchange,symbol,date,increase
binance,ABTC,2025-10-10,1.6178861788617884
binance,ACHBTC,2025-10-10,0.8749999999999999
binance,AEBTC,2020-12-24,0.8609022556390978
binance,AEVOBTC,2025-10-10,3.7647058823529416
binance,AGIBTC,2021-05-19,0.6686626746506984
binance,ALPACABTC,2024-04-13,0.5422885572139304
binance,AMPBTC,2023-02-23,0.5200000000000001
binance,ANCBTC,2022-11-08,0.55
binance,ANCBTC,2022-12-25,0.6545454545454545
binance,ANKRBTC,2025-10-10,1.2000000000000002
binance,ANYBTC,2022-01-12,0.5128518971848224
binance,ANYBTC,2022-03-25,0.5152874031797798
binance,API3BTC,2025-10-10,1.2099125364431487
binance,APPCBTC,2021-12-19,0.5633802816901409
binance,APPCBTC,2021-12-20,0.7590361445783133
binance,APPCBTC,2021-12-24,0.8103448275862069
binance,ARDRBTC,2025-11-06,0.6153846153846154
binance,ARDRBTC,2026-02-01,1.046153846153846
binance,ARKBTC,2022-09-08,0.5765765765765767
binance,ARKBTC,2022-11-20,0.6171003717472118
binance,ARNBTC,2020-06-25,0.5477792732166891
binance,ARNBTC,2020-07-13,4.9750000000000005
binance,ARPABTC,2026-01-19,1.0833333333333335
binance,ASRBTC,2022-11-25,1.1476702508960575
binance,ASRBTC,2022-11-29,1.0951156812339333
binance,ASTRBTC,2026-02-01,0.6000000000000001
binance,ATABTC,2025-10-10,0.8888888888888887
binance,ATMBTC,2023-01-14,2.92434988179669
binance,AUCTIONBTC,2025-10-20,0.5184615384615386
kucoin,BSVBTC,2026-02-05,0.5174934725848566
kucoin,CKBBTC,2026-03-18,19.27777777777778
kucoin,CKBBTC,2026-04-22,197.99999999999997
kucoin,EGLDBTC,2026-03-15,0.7483405483405482
kucoin,EGLDBTC,2026-05-02,0.5681885125184094
kucoin,EGLDBTC,2026-05-03,0.9304029304029304
kucoin,EGLDBTC,2026-05-04,0.8186257411928844
kucoin,EWTBTC,2026-04-10,0.5652173913043479
kucoin,KNCBTC,2026-02-03,0.9975450081833063
kucoin,KNCBTC,2026-02-10,0.7876322213181447
kucoin,KNCBTC,2026-02-22,0.5213304410701375
kucoin,KNCBTC,2026-03-27,0.690773067331671
kucoin,MANTRABTC,2026-03-10,1.5
kucoin,OGNBTC,2026-03-11,0.6096654275092939
kucoin,ONTBTC,2026-03-24,0.8201680672268907
kucoin,ONTBTC,2026-03-30,0.5577777777777779
kucoin,ONTBTC,2026-04-01,0.6775862068965519
kucoin,PONDBTC,2026-02-03,1.0050000000000001
kucoin,PONDBTC,2026-02-05,1.1570680628272252
kucoin,PONDBTC,2026-02-06,0.7449392712550609
kucoin,PONDBTC,2026-02-10,1.0569948186528495
kucoin,PONDBTC,2026-02-11,0.970149253731343
kucoin,PONDBTC,2026-02-12,0.608695652173913
okx,OKBBTC,2026-03-05,0.5967650930976116
