symbol,date,increase
LTCBTC,2025-10-10,1.203960396039604
GASBTC,2023-11-11,1.1651567944250873
KNCBTC,2025-07-12,1.3726937269372697
IOTABTC,2025-10-10,1.1506849315068493
LINKBTC,2025-10-10,1.4476439790575915
ETCBTC,2025-10-10,1.409090909090909
ZECBTC,2025-04-07,3.6417910447761193
TRXBTC,2024-12-03,1.0303030303030303
XRPBTC,2025-10-10,2.3444444444444446
ADABTC,2025-10-10,1.5900383141762449
XLMBTC,2025-10-10,1.0387096774193547
ONTBTC,2025-10-10,1.2608695652173911
ZENBTC,2025-10-10,1.6137479541734865
THETABTC,2025-10-10,2.1989247311827955
FETBTC,2025-10-10,2.7454545454545456
ATOMBTC,2025-10-10,1.4326241134751772
DOGEBTC,2025-10-10,1.3222222222222224
DUSKBTC,2025-10-10,1.4230769230769231
DUSKBTC,2026-01-19,1.1566265060240966
CHZBTC,2025-10-10,1.6923076923076923
HBARBTC,2025-10-10,1.373333333333333
STXBTC,2025-10-10,1.5102040816326534
KAVABTC,2025-10-10,47.33333333333334
CTSIBTC,2025-10-10,2.647058823529412
CTSIBTC,2026-04-02,1.4999999999999998
AVABTC,2024-12-12,3.8370165745856357
AVABTC,2025-10-10,3.6153846153846154
CRVBTC,2025-10-10,2.6470588235294117
DOTBTC,2025-10-10,2.911111111111111
EGLDBTC,2025-10-10,2.8197278911564627
UNIBTC,2025-10-10,2.2883720930232556
AVAXBTC,2025-10-10,1.8705738705738704
XVSBTC,2025-10-10,1.8237704918032787
AAVEBTC,2025-10-10,2.034300791556728
NEARBTC,2025-10-10,1.034588777863182
FILBTC,2025-10-10,3.4666666666666663
FILBTC,2025-11-07,1.0980498374864571
INJBTC,2025-10-10,2.9305019305019306
CTKBTC,2024-05-29,1.4985192497532085
AXSBTC,2025-10-10,1.4666666666666666
CELOBTC,2025-10-10,4.029850746268656
CAKEBTC,2025-10-10,1.1720279720279716
SUPERBTC,2025-10-10,1.7810650887573964
CFXBTC,2025-07-20,1.3820224719101126
CFXBTC,2025-10-10,1.0
ICPBTC,2025-10-10,1.5594405594405594
ARBTC,2025-10-10,3.058333333333333
LPTBTC,2025-05-30,1.7449392712550602
LPTBTC,2025-10-10,1.7611940298507462
SANTOSBTC,2024-10-28,1.5329252849303505
SANTOSBTC,2025-10-10,3.56
OPBTC,2025-10-10,3.5454545454545454
APTBTC,2025-10-10,1.7769736842105261
MAGICBTC,2025-10-10,2.4523809523809526
ARBBTC,2025-10-10,2.5300000000000002
SUIBTC,2025-10-10,4.614931237721021
PENDLEBTC,2025-10-10,1.4857332448573324
WLDBTC,2025-10-10,3.203921568627451
SEIBTC,2023-08-15,5.181818181818182
SEIBTC,2025-10-10,2.414285714285714
PYTHBTC,2024-02-02,1.0316027088036117
PYTHBTC,2024-12-18,3.145631067961164
PYTHBTC,2025-08-28,1.0291262135922328
PYTHBTC,2025-10-10,1.9545454545454546
AXLBTC,2024-03-01,1.321338063862139
AXLBTC,2025-10-10,3.660377358490566
AXLBTC,2026-04-16,1.0317460317460319
ENABTC,2024-04-02,2.1587301587301586
ENABTC,2025-10-10,2.6850393700787407
SAGABTC,2024-04-09,219.51724137931035
SAGABTC,2025-10-10,3.2
TAOBTC,2024-04-11,2.569616187570259
TAOBTC,2025-10-10,1.4904652936689549
RENDERBTC,2025-10-10,4.8272921108742
POLBTC,2024-09-13,2.205128205128205
SBTC,2025-01-16,1.7586206896551726
SBTC,2025-10-10,2.138888888888889
