exchange,regime,label,source,symbol,file,score_mean,score_max,score_std,score_peak_t,n_timesteps,n_ob_levels,has_trades,imbalance_mean,spread_mean_pct,impact_mean_pct
binance,control,0,real,ABTC,ABTC_2025-10-10_klines_L2.csv,5.869273157391708,14.268756768460458,0.7284329148303716,3985,4000,10,False,1.0107449548180525,0.0,0.0
binance,control,0,real,ACHBTC,ACHBTC_2025-10-10_klines_L2.csv,5.868261412934164,9.311640886227257,0.712746099987289,3091,4000,10,False,1.014599591160024,0.0,0.0
binance,control,0,real,ADABTC,ADABTC-1m-2025-10-10_L2.csv,6.301099423677963,35.81025574810314,1.6185990948047415,5117,5760,10,True,1.042077764806473,0.0,0.0
binance,control,0,real,ADXBTC,ADXBTC-1m-2021-02-13_L2.csv,8.051645119351114,18.438747512728774,1.5576679412062526,4420,5760,10,True,1.0414608488705166,0.13543830297329046,0.06771915148664893
binance,control,0,real,AEBTC,AEBTC_2020-12-24_klines_L2.csv,6.525840045670213,34.24965173926617,1.8021842127917558,1909,4000,10,False,1.0363552866255141,0.0,0.0
binance,control,0,real,AEVOBTC,AEVOBTC_2025-10-10_klines_L2.csv,5.853280155805654,9.8711382414869,0.6984215214332916,3623,4000,10,False,1.015016229003954,0.0,0.0
binance,control,0,real,AGIBTC,AGIBTC-1m-2019-03-26_L2.csv,8.315849426498218,17.036540115455406,1.5684040166909785,429,5760,10,True,1.0452043574504706,0.15712234648490153,0.07856117324245374
binance,control,0,real,AGIBTC,AGIBTC_2021-05-19_klines_L2.csv,7.157395981382447,28.94430485286582,1.9728187364699563,3510,4000,10,False,1.0790921822893143,0.0,0.0
binance,control,0,real,ALPACABTC,ALPACABTC_2024-04-13_klines_L2.csv,5.861815029183386,10.43254470112249,0.7115273265890774,931,4000,10,True,1.014037065788993,0.0,0.0
binance,control,0,real,AMPBTC,AMPBTC_2023-02-23_klines_L2.csv,6.014736848807671,16.193127806275147,1.1121054712178597,2986,4000,10,True,1.0223372870207348,0.0,0.0
